Runtime (ms):,10734
Average checktime (ms):,40.152542
Cubesize:,100
Devisions:,6
Total cells:,216

Time per collision check(ms),TimeStamp,Collisions Checked,Collisions
40,40,723,369
40,80,757,374
41,121,788,385
41,162,768,376
39,201,757,367
39,240,734,362
40,280,713,356
39,319,706,363
41,360,730,374
41,401,761,384
39,440,755,382
39,479,720,373
42,521,728,381
39,560,755,388
40,600,795,399
40,640,778,383
42,682,752,381
42,724,786,393
41,765,769,388
40,805,817,400
41,846,809,398
40,886,769,380
39,925,756,383
40,965,767,385
40,1005,764,390
42,1047,747,387
40,1087,740,384
39,1126,738,379
40,1166,732,383
40,1206,730,385
39,1245,739,382
41,1286,732,384
40,1326,721,372
40,1366,706,370
41,1407,710,380
40,1447,741,393
40,1487,756,396
40,1527,772,395
39,1566,744,384
40,1606,752,383
40,1646,729,377
40,1686,726,379
40,1726,739,385
41,1767,760,390
40,1807,735,381
40,1847,738,384
39,1886,765,395
39,1925,772,399
40,1965,744,387
40,2005,721,385
40,2045,673,365
44,2089,679,373
41,2130,743,396
40,2170,765,402
40,2210,784,407
40,2250,779,404
40,2290,757,389
40,2330,735,383
40,2370,733,381
40,2410,719,378
40,2450,731,386
41,2491,773,399
39,2530,745,387
40,2570,692,374
41,2611,715,387
41,2652,739,388
40,2692,730,378
39,2731,726,377
40,2771,744,379
41,2812,755,385
40,2852,780,394
39,2891,780,386
40,2931,797,386
41,2972,767,384
40,3012,748,378
40,3052,724,368
40,3092,732,377
40,3132,711,368
40,3172,733,377
40,3212,726,376
40,3252,718,371
40,3292,726,376
41,3333,730,379
41,3374,775,392
40,3414,773,393
40,3454,784,394
40,3494,779,390
39,3533,770,388
39,3572,735,381
40,3612,724,374
40,3652,763,389
41,3693,760,388
39,3732,727,378
40,3772,715,378
40,3812,706,377
40,3852,749,393
40,3892,760,389
41,3933,752,381
40,3973,752,380
40,4013,748,379
39,4052,737,375
40,4092,745,377
40,4132,710,371
40,4172,709,369
41,4213,723,376
40,4253,779,395
41,4294,768,392
40,4334,767,388
41,4375,757,383
40,4415,741,376
40,4455,729,370
41,4496,749,380
39,4535,762,384
40,4575,733,376
41,4616,728,378
40,4656,717,370
40,4696,697,360
40,4736,693,367
40,4776,702,365
41,4817,718,372
40,4857,746,378
41,4898,739,383
40,4938,741,377
41,4979,730,377
40,5019,719,368
41,5060,674,353
41,5101,713,368
40,5141,740,375
40,5181,738,372
41,5222,739,376
40,5262,739,379
41,5303,775,384
40,5343,750,381
39,5382,726,375
40,5422,718,368
41,5463,704,366
41,5504,723,374
40,5544,772,391
41,5585,805,398
41,5626,777,385
40,5666,743,377
40,5706,741,372
40,5746,703,361
40,5786,694,361
40,5826,707,363
40,5866,684,360
40,5906,687,357
41,5947,686,357
40,5987,702,364
40,6027,728,368
40,6067,715,362
40,6107,686,358
40,6147,705,373
40,6187,684,353
40,6227,674,351
39,6266,687,353
41,6307,686,352
40,6347,692,355
39,6386,683,354
39,6425,703,357
40,6465,713,367
39,6504,697,354
39,6543,671,355
40,6583,670,349
40,6623,667,348
42,6665,689,355
40,6705,702,357
40,6745,680,352
39,6784,642,344
40,6824,649,345
40,6864,681,356
40,6904,668,353
40,6944,654,355
40,6984,686,358
43,7027,685,353
40,7067,673,350
40,7107,657,349
