Runtime (ms):,11626
Average checktime (ms):,21.461929

Time per collision check(ms),TimeStamp,Collisions Checked,Collisions found
20,20,45150,0
25,45,45150,0
21,66,45150,0
21,87,45150,0
22,109,45150,0
23,132,45150,0
21,153,45150,0
21,174,45150,0
21,195,45150,0
22,217,45150,0
22,239,45150,0
21,260,45150,0
21,281,45150,0
22,303,45150,0
22,325,45150,0
21,346,45150,0
20,366,45150,1
21,387,45150,0
22,409,45150,0
21,430,45150,0
22,452,45150,0
22,474,45150,0
21,495,45150,0
21,516,45150,0
21,537,45150,0
22,559,45150,0
22,581,45150,0
23,604,45150,1
22,626,45150,1
21,647,45150,1
22,669,45150,0
21,690,45150,0
20,710,45150,0
22,732,45150,0
20,752,45150,0
21,773,45150,0
22,795,45150,0
20,815,45150,0
22,837,45150,0
22,859,45150,1
22,881,45150,2
22,903,45150,1
20,923,45150,1
22,945,45150,1
22,967,45150,0
22,989,45150,0
22,1011,45150,0
23,1034,45150,0
21,1055,45150,0
20,1075,45150,0
22,1097,45150,0
22,1119,45150,0
22,1141,45150,0
21,1162,45150,0
21,1183,45150,0
21,1204,45150,0
20,1224,45150,1
22,1246,45150,0
21,1267,45150,0
21,1288,45150,1
20,1308,45150,1
21,1329,45150,1
21,1350,45150,1
23,1373,45150,2
21,1394,45150,0
24,1418,45150,0
23,1441,45150,0
21,1462,45150,1
21,1483,45150,0
22,1505,45150,0
21,1526,45150,0
21,1547,45150,1
21,1568,45150,1
21,1589,45150,1
21,1610,45150,0
21,1631,45150,1
23,1654,45150,0
22,1676,45150,0
21,1697,45150,0
22,1719,45150,0
21,1740,45150,0
21,1761,45150,0
21,1782,45150,0
20,1802,45150,1
21,1823,45150,1
23,1846,45150,1
22,1868,45150,0
21,1889,45150,0
22,1911,45150,1
21,1932,45150,1
22,1954,45150,0
24,1978,45150,0
24,2002,45150,0
21,2023,45150,1
20,2043,45150,0
21,2064,45150,0
20,2084,45150,0
22,2106,45150,2
23,2129,45150,2
22,2151,45150,0
23,2174,45150,0
21,2195,45150,0
22,2217,45150,1
21,2238,45150,1
22,2260,45150,0
22,2282,45150,1
23,2305,45150,0
20,2325,45150,0
21,2346,45150,0
23,2369,45150,1
23,2392,45150,0
20,2412,45150,0
21,2433,45150,0
21,2454,45150,1
21,2475,45150,1
21,2496,45150,0
22,2518,45150,1
21,2539,45150,0
20,2559,45150,0
22,2581,45150,0
21,2602,45150,0
21,2623,45150,0
21,2644,45150,0
21,2665,45150,1
21,2686,45150,1
22,2708,45150,0
20,2728,45150,0
23,2751,45150,0
20,2771,45150,0
20,2791,45150,0
20,2811,45150,1
21,2832,45150,0
20,2852,45150,0
20,2872,45150,0
22,2894,45150,0
20,2914,45150,0
22,2936,45150,1
20,2956,45150,1
23,2979,45150,1
20,2999,45150,1
22,3021,45150,1
21,3042,45150,1
20,3062,45150,0
20,3082,45150,0
23,3105,45150,0
22,3127,45150,0
21,3148,45150,0
21,3169,45150,1
21,3190,45150,0
21,3211,45150,0
21,3232,45150,0
22,3254,45150,1
22,3276,45150,0
22,3298,45150,0
21,3319,45150,1
21,3340,45150,0
22,3362,45150,0
22,3384,45150,0
21,3405,45150,1
21,3426,45150,2
22,3448,45150,1
21,3469,45150,0
22,3491,45150,0
20,3511,45150,0
21,3532,45150,0
22,3554,45150,2
22,3576,45150,2
22,3598,45150,2
22,3620,45150,0
22,3642,45150,1
22,3664,45150,2
23,3687,45150,2
23,3710,45150,1
21,3731,45150,1
20,3751,45150,0
21,3772,45150,0
22,3794,45150,0
21,3815,45150,1
21,3836,45150,0
21,3857,45150,0
21,3878,45150,0
20,3898,45150,1
21,3919,45150,0
21,3940,45150,0
20,3960,45150,0
21,3981,45150,0
21,4002,45150,1
20,4022,45150,0
22,4044,45150,0
22,4066,45150,0
22,4088,45150,0
22,4110,45150,1
20,4130,45150,1
20,4150,45150,0
21,4171,45150,1
21,4192,45150,0
22,4214,45150,0
21,4235,45150,0
21,4256,45150,0
21,4277,45150,0
21,4298,45150,0
22,4320,45150,0
21,4341,45150,0
22,4363,45150,1
25,4388,45150,0
48,4436,45150,0
22,4458,45150,1
21,4479,45150,0
21,4500,45150,1
21,4521,45150,1
21,4542,45150,0
20,4562,45150,0
22,4584,45150,0
22,4606,45150,0
20,4626,45150,1
23,4649,45150,0
22,4671,45150,0
24,4695,45150,0
24,4719,45150,1
22,4741,45150,0
23,4764,45150,0
20,4784,45150,0
20,4804,45150,0
22,4826,45150,0
21,4847,45150,0
20,4867,45150,0
20,4887,45150,0
23,4910,45150,0
22,4932,45150,0
22,4954,45150,1
20,4974,45150,0
20,4994,45150,0
20,5014,45150,0
21,5035,45150,0
22,5057,45150,0
21,5078,45150,0
21,5099,45150,0
21,5120,45150,0
22,5142,45150,0
21,5163,45150,1
20,5183,45150,0
21,5204,45150,0
21,5225,45150,0
22,5247,45150,1
20,5267,45150,0
21,5288,45150,0
22,5310,45150,0
23,5333,45150,0
22,5355,45150,0
23,5378,45150,1
56,5434,45150,1
22,5456,45150,1
22,5478,45150,0
20,5498,45150,0
20,5518,45150,1
23,5541,45150,2
21,5562,45150,0
20,5582,45150,1
21,5603,45150,0
21,5624,45150,0
20,5644,45150,0
21,5665,45150,0
21,5686,45150,0
21,5707,45150,0
21,5728,45150,0
21,5749,45150,0
20,5769,45150,1
21,5790,45150,0
21,5811,45150,1
21,5832,45150,0
22,5854,45150,1
22,5876,45150,1
22,5898,45150,1
21,5919,45150,1
22,5941,45150,0
20,5961,45150,0
20,5981,45150,0
22,6003,45150,0
21,6024,45150,0
22,6046,45150,0
21,6067,45150,0
21,6088,45150,1
21,6109,45150,1
20,6129,45150,2
23,6152,45150,2
22,6174,45150,0
23,6197,45150,0
20,6217,45150,0
20,6237,45150,0
26,6263,45150,1
21,6284,45150,0
21,6305,45150,1
22,6327,45150,1
21,6348,45150,1
21,6369,45150,0
21,6390,45150,0
22,6412,45150,0
22,6434,45150,1
21,6455,45150,0
22,6477,45150,0
21,6498,45150,0
21,6519,45150,1
22,6541,45150,0
22,6563,45150,0
21,6584,45150,0
21,6605,45150,0
20,6625,45150,0
21,6646,45150,0
21,6667,45150,0
21,6688,45150,0
21,6709,45150,1
21,6730,45150,1
21,6751,45150,0
21,6772,45150,0
21,6793,45150,0
21,6814,45150,0
22,6836,45150,0
20,6856,45150,0
21,6877,45150,0
21,6898,45150,0
21,6919,45150,0
20,6939,45150,0
21,6960,45150,1
20,6980,45150,1
20,7000,45150,0
22,7022,45150,0
20,7042,45150,0
21,7063,45150,0
22,7085,45150,0
21,7106,45150,1
22,7128,45150,0
20,7148,45150,1
22,7170,45150,1
22,7192,45150,1
20,7212,45150,1
20,7232,45150,0
20,7252,45150,2
21,7273,45150,0
22,7295,45150,0
22,7317,45150,0
21,7338,45150,1
20,7358,45150,0
20,7378,45150,0
21,7399,45150,0
22,7421,45150,0
20,7441,45150,0
21,7462,45150,0
20,7482,45150,0
21,7503,45150,0
21,7524,45150,0
23,7547,45150,0
21,7568,45150,2
21,7589,45150,2
22,7611,45150,1
20,7631,45150,1
22,7653,45150,0
21,7674,45150,2
21,7695,45150,2
23,7718,45150,1
21,7739,45150,1
20,7759,45150,1
21,7780,45150,0
20,7800,45150,0
19,7819,45150,0
21,7840,45150,0
21,7861,45150,0
21,7882,45150,0
22,7904,45150,0
22,7926,45150,0
21,7947,45150,0
23,7970,45150,0
22,7992,45150,1
21,8013,45150,0
21,8034,45150,0
21,8055,45150,0
20,8075,45150,0
22,8097,45150,0
21,8118,45150,0
21,8139,45150,0
21,8160,45150,0
22,8182,45150,0
22,8204,45150,0
21,8225,45150,0
23,8248,45150,0
22,8270,45150,0
21,8291,45150,0
20,8311,45150,0
22,8333,45150,0
21,8354,45150,0
20,8374,45150,0
21,8395,45150,2
20,8415,45150,0
20,8435,45150,0
21,8456,45150,0
